text	label
could you connect to my phone	sync_device
please immediately disconnect this mobile	sync_device
alexa, connect to the phone now	sync_device
please unsync from my phone right now	sync_device
initiate connection with my phone, please	sync_device
quickly disconnect the phone	sync_device
can we pair this with my new phone	sync_device
let's terminate connection to my phone please	sync_device
i don't want you connected to my phone anymore	sync_device
unsync my phone	sync_device
you can unsync from my phone now	sync_device
i need to pair this with my phone	sync_device
don't sync to my phone anymore	sync_device
i must disconnect from my phone	sync_device
you have to connect to my phone	sync_device
i'd like you to pair with my phone	sync_device
go ahead and disconnect from my phone	sync_device
sync with my phone please	sync_device
please unsync phone from phone from home system	sync_device
pair with my phone	sync_device
would you please pair with my phone	sync_device
will you connect to my phone	sync_device
i don't want this phone synced any more	sync_device
lets pair this with my new phone	sync_device
can you get access to my phone right now	sync_device
is my phone connectable right now	sync_device
go ahead an unsync my phone now	sync_device
pair with phone	sync_device
connect to my device	sync_device
unsync from my phone	sync_device
disconnect from my phone	sync_device
could you connect to my phone, please	sync_device
please remove the phone's sync	sync_device
please connect with my phone	sync_device
you can disconnect from my phone now	sync_device
would you unsync the phone now please	sync_device
don't sync with my phone	sync_device
i want you paired to my phone	sync_device
sync phone	sync_device
desync from my phone	sync_device
unsync from my phone please	sync_device
i wanna disconnect from my phone	sync_device
can you connect with my phone, please	sync_device
disconnect sync from my phone	sync_device
please unlink my phone	sync_device
i would like for my phone to be synced with you	sync_device
disconnect from my phone, please	sync_device
i want for you to disconnect from my phone	sync_device
i'd like you to disconnect from my phone	sync_device
please link up to my cell	sync_device
go ahead and connect to my phone	sync_device
disconnect from my phone now, please	sync_device
please unsync my phone	sync_device
please begin pairing with my phone	sync_device
please link with my phone	sync_device
are you able to get into my phone at the moment	sync_device
would you disconnect from my phone	sync_device
please get off my phone	sync_device
pair yourself to my phone if you can	sync_device
i am going to go ahead and pair this with my new phone	sync_device
can you pair yourself with my phone please	sync_device
can you link to my phone	sync_device
i would like for you to unsync my phone	sync_device
i want you to disconnect from my phone	sync_device
could you unsync my phone please	sync_device
create a link with my phone	sync_device
please remove your connection to my phone	sync_device
will you please end the connection to my phone	sync_device
with my phone please pair	sync_device
can you disconnect yourself from my phone	sync_device
can you get paired to my phone right away	sync_device
i don't want you synced to my phone anymore	sync_device
i want to disconnect the current connection to my phone	sync_device
please get off my phone connection	sync_device
please desync my current mobile	sync_device
remove the connection to my phone	sync_device
can you sync up with my phone	sync_device
connect with my phone please	sync_device
can you link up with my phone	sync_device
unsync yourself from my device	sync_device
establish a connection to my phone	sync_device
connect to my phone for me	sync_device
i want you to connect using my phone	sync_device
can you please disconnect from my phone	sync_device
desync from my iphone	sync_device
please connect the device to my phone	sync_device
please connect with my smart phone	sync_device
stop syncing with this phone	sync_device
please pair with my phone	sync_device
i need you to disconnect from my phone	sync_device
i want my phone to be disconnected from you	sync_device
connect with my phone	sync_device
how can i unsync my phone	sync_device
please add onto my phone	sync_device
would you connect to my phone	sync_device
please unsync from my phone	sync_device
sync with my phone	sync_device
don't connect to my phone anymore	sync_device
i no longer want this phone to sync	sync_device
can you connect to my phone	sync_device
don't be connected to my phone anymore	sync_device
stop synching to my phone	sync_device
can you disconnect from my phone	sync_device
can you connect to my phone, please	sync_device
please connect yourself to my main phone	sync_device
please connect to my phone	sync_device
please disconnect from my phone	sync_device
stop the connection with my phone	sync_device
please pair my phone	sync_device
get connected to my phone	sync_device
are you able to link to my phone	sync_device
do you have access to my phone	sync_device
mind connecting to my phone	sync_device
please link up to my phone	sync_device
pair with my smart phone	sync_device
disconnect from phone	sync_device
remove the sync from my phone	sync_device
go and disconnect from my phone	sync_device
stop syncing with my phone	sync_device
pair my phone please	sync_device
find my current location	current_location
check me out on the map	current_location
use the map and pinpoint my position	current_location
latitude and longitude please	current_location
how do i know where i'm at	current_location
what's the precise coordinates of this place	current_location
where am i currently	current_location
can you find the exact address for where i am currently	current_location
check out my location up on the map	current_location
what is my location right now	current_location
can you find my location on the map	current_location
what location do you see me at right now	current_location
my current location is what	current_location
whats my location	current_location
show me where i am on the map please	current_location
would you find my location on the map, please	current_location
show my position on the map	current_location
can you find my location on the map, please	current_location
how can i find my current location	current_location
where is my location	current_location
please show me where i am on a map	current_location
i'm lost	current_location
location currently, where	current_location
show me my location	current_location
where am i on gps	current_location
is there a way to get my current location	current_location
where am i	current_location
can you tell me my current location	current_location
where am i currently located	current_location
what are the gps coordinates where i am located	current_location
where exactly am i at the moment	current_location
talk to me about where im at right now	current_location
how can i go about finding my location right now	current_location
what street am i on right now	current_location
where are we located	current_location
what location is this	current_location
i'd like to know where i am	current_location
what are my gps coordinates at this location	current_location
tell me where i am	current_location
give me my gps coordinates	current_location
what country and city am i in	current_location
how can i tell what my current location is	current_location
could you find my location on the map	current_location
tell me the current location	current_location
i need to know my location	current_location
i need to know my current gps coordinates	current_location
can you tell me where i am	current_location
show me where i am on the map	current_location
i would like to know my current location	current_location
how will i find my current location	current_location
find out where i am on the map	current_location
tell me my current gps coordinates	current_location
what do i do to find my current location	current_location
what do i do to find my location	current_location
pass me my gps coordinates	current_location
